SYMBOL,DESCRIPTION,cik
AAMC,ALTISOURCE ASSET MANAGEMENT CO,CIK0001555074
AMAM,AMBRX BIOPHARMA INC SPONSORED ,CIK0001836056
AMZN,AMAZON COM INC;COM USD0.01,CIK0001018724
AMBC,AMBAC FINL GROUP INC NEW COM S,CIK0000874501
ABEV,AMBEV S A SPONSORED ADR (BRA) ,CIK0001565025
AMTB,AMERANT BANCORP INC CL A,CIK0001734342
UHAL,AMERCO,CIK0000004457
AEE,AMEREN CORP,CIK0001002910
AMAO,AMERICAN ACQUISITION OPPORTUNI,CIK0001843656
AMX,"AMERICA MOVIL, S.A.B. DE C.V. ",CIK0001129137
AAT,AMERICAN ASSETS TR INC COM STK,CIK0001500217
ABML,AMERICAN BATTERY TECHNOLOGY CO,CIK0001576873
AMMJ,AMERICAN CANNABIS COMP INC COM,CIK0000945617
AEO,AMERICAN EAGLE OUTFITTER INC C,CIK0000919012
AEPPZ,AMERICAN ELEC PWR CO,CIK0000004904
AFGE,AMERICAN FINL GROUP INC OHIO,CIK0001042046
RTL,THE NECESSITY RETAIL REIT INC.,CIK0001568162
AMH,AMERICAN HOMES 4 RENT,CIK0001562401
AIG,AMERICAN INTL GROUP INC COM ST,CIK0000005272
AMNB,AMERCIAN NATL BKSHARE DANVILLE,CIK0000741516
AOUT,AMERICAN OUTDOOR BRANDS INC,CIK0001808997
APEI,AMERICAN PUB ED INC COM STK (D,CIK0001201792
ARL,AMER REALTY INVESTORS INC(NEW),CIK0001102238
AREB,AMERICAN REBEL HLDGS INC COM N,CIK0001648087
AMSC,AMERICAN SUPERCONDUCTOR CORP S,CIK0000880807
AWK,AMERICAN WATER WORKS COMPANY I,CIK0001410636
AMWL,AMERICAN WELL CORP COM CL A,CIK0001393584
AMWD,AMERICAN WOODMARK CORP,CIK0000794619
USAS,AMERICAS GOLD & SILVER CORP CO,CIK0001286973
CRMT,AMERICA'S CAR-MART INC,CIK0000799850
ABC,AMERISOURCEBERGEN CORP,CIK0001140859
AMP,"AMERIPRISE FINANCIAL, INC. COM",CIK0000820027
ABCB,AMERIS BANCORP,CIK0000351569
AME,AMETEK INC NEW,CIK0001037868
AMKR,AMKOR TECHNOLOGY INC,CIK0001047127
AMPH,AMPHASTAR PHARMACEUTICALS INC ,CIK0001297184
APH,AMPHENOL CORP (NEW) CL-A,CIK0000820313
AMPG,AMPLITECH GROUP INC. COM NEW,CIK0001518461
AMPX,AMPRIUS TECHNOLOGIES INC COM,CIK0001899287
ASYS,AMTECH SYSTEMS INC,CIK0000720500
AMRS,AMYRIS INC COM NEW,CIK0001365916
AVXL,ANAVEX LIFE SCIENCES CORP,CIK0001314052
ANDE,ANDERSONS INC (THE),CIK0000821026
ANEB,ANEBULO PHARMACEUTICALS INC CO,CIK0001815974
FINS,ANGEL OAK FINL STRATEGIES INCO,CIK0001745059
BUD,ANHEUSER-BUSCH INBEV SA SPONSO,CIK0001668717
NLY,"ANNALY CAPITAL MANAGEMENT, INC",CIK0001043219
AR,ANTERO RESOURCES CORPORATION C,CIK0001433270
ATEX,ANTERIX INC COM,CIK0001304492
AIV,APARTMENT INVST & MGMT CO CL A,CIK0000922864
APGN,APEXIGEN INC,CIK0001814140
APOG,APOGEE ENTERPRISES INC,CIK0000006845
ARI,APOLLO COMMERICAL REAL ESTATE ,CIK0001467760
APEN,APOLLO ENDOSURGERY INC COM,CIK0001251769
APPN,APPIAN CORP CL A,CIK0001441683
APPH,APPHARVEST INC,CIK0001807707
APPHW,APPHARVEST INC WT EXP 01/30/26,CIK0001807707
AAPL,APPLE INC;COM NPV,CIK0001652044
APLD,APPLIED DIGITAL CORP COM NEW,CIK0001144879
AMAT,APPLIED MATERIALS INC,CIK0000006951
AAOI,APPLIED OPTOELECTRONICS INC CO,CIK0001158114
AMTI,APPLIED MOLECULAR TRANS INC CO,CIK0001801777
AUVI,APPLIED UV INC COM,CIK0001811109
AUVIP,APPLIED UV INC PERP PFD SER A ,CIK0001811109
APP,APPLOVIN CORP COM CL A (DE),CIK0001751008
APCXW,APPTECH PMTS CORP WT EXP (DE)1,CIK0001070050
AQMS,AQUA METALS INC COM STK (DE),CIK0001621832
AQB,AQUABOUNTY TECHNOLOGIES INC CO,CIK0001603978
AQST,AQUESTIVE THERAPEUTICS INC COM,CIK0001398733
ARAT,ARAX HLDGS CORP COMMON STOCK,CIK0001566243
ABUS,ARBUTUS BIOPHARMA CORP COM STK,CIK0001447028
ARAV,VERSARTIS INC COM,CIK0001513818
ABR,ARBOR REALTY TRUST INC,CIK0001253986
RKDA,ARCADIA BIOSCIENCES INC COM PA,CIK0001469443
ARCB,ARCBEST CORPORATION COMMON STO,CIK0000894405
ACGLN,ARCH CAP GROUP LTD DEP SHS REP,CIK0000947484
ACLX,ARCELLX INC,CIK0001786205
AROC,ARCHROCK INC,CIK0001389050
FUV,ARCIMOTO INC COM NEW,CIK0001558583
ARNC,ARCONIC ROLLED PRODS CORP COM ,CIK0001790982
RCUS,ARCUS BIOSCIENCES INC,CIK0001724521
ARQT,ARCUTIS BIOTHERAPEUTICS INC CO,CIK0001787306
ARDX,ARDELYX INC COM STK (DE),CIK0001437402
AREN,ARENA GROUP HLDGS INC DEL COM ,CIK0000894871
AGX,ARGAN INC,CIK0000100591
ARCC,ARES CAPITAL CORP,CIK0001287750
ARBK,ARGO BLOCKCHAIN PLC ADR (GBR) ,CIK0001841675
ACRE,ARES COML REAL ESTATE CORP COM,CIK0001529377
PNXLF,ARGENTINA LITHIUM & ENERGY,CIK0001689448
ARIS,ARIS WTR SOLUTIONS INC CL A (D,CIK0001865187
AIC,ARLINGTON ASSET INVT CORP SR N,CIK0001209028
ARLO,ARLO TECHNOLOGIES INC,CIK0001736946
ARMV,ARMA SVCS INC,CIK0001625285
AHH,"ARMADA HOFFLER PROPERTIES, INC",CIK0001569187
ARMP,ARMATA PHARMACEUTICALS INC COM,CIK0000921114
ARR,ARMOUR RESIDENTIAL REIT INC CO,CIK0001428205
AWI,ARMSTRONG WORLD INDUSTRIES INC,CIK0000007431
AOGOW,AROGO CAP ACQUISITION CORP RED,CIK0001881741
ARRY,ARRAY TECHNOLOGIES INC COM (DE,CIK0001820721
ARWR,ARROWHEAD PHARMACEUTICALS INC ,CIK0000879407
ARTLW,ARTELO BIOSCIENCES INC WT PUR ,CIK0001621221
AIP,ARTERIS INC COM (DE),CIK0001667011
ARTNA,ARTESIAN RES CORP CL-A,CIK0000863110
AITX,ARTIFICIAL INTELLIGENCE,CIK0001498148
AAWH,ASCEND WELLNESS HLDGS INC,CIK0001756390
ASXC,ASENSUS SURGICAL INC COM (DE) ,CIK0000876378
ASLN,ASLAN PHARMACEUTICALS LTD SPON,CIK0001722926
ASPN,"ASPEN AEROGELS, INC",CIK0001145986
AWH,ASPIRA WOMENS HEALTH INC,CIK0000926617
ASRT,ASSERTIO HLDGS INC COM NEW (DE,CIK0001808665
ASRE,ASTRA ENERGY INC COM,CIK0001231339
ASTR,ASTRA SPACE INC,CIK0001814329
ALOT,ASTRONOVA INC COM,CIK0000008146
ATRA,ATARA BIOTHERAPEUTICS INC COMM,CIK0001604464
AVIR,ATEA PHARMACEUTICALS INC COM (,CIK0001593899
ATNX,ATHENEX INC COM NEW,CIK0001300699
ATHA,ATHIRA PHARMA INC,CIK0001620463
ACAB,ATLANTIC COASTAL ACQUISITION C,CIK0001893219
ATLC,ATLANTICUS HLDGS CORP,CIK0001464343
ATCOL,ATLAS CORP CDA NT 07.125% 10/3,CIK0001794846
ATOS,"ATOSSA THERAPEUTICS, INC. COMM",CIK0001488039
ATAT,ATOUR LIFESTYLE HLDGS LTD SPON,CIK0001853717
ATRI,ATRION CORP,CIK0000701288
AUD,AUDACY INC CL-A (PA),CIK0001067837
AUUD,AUDDIA INC COM,CIK0001554818
AEYE,AUDIOEYE INC,CIK0001362190
AUGX,AUGMEDIX INC,CIK0001769804
AURA,AURA BIOSCIENCES INC COM (DE) ,CIK0001501796
AIRRF,AURION RES LTD,CIK0001476573
AUPH,AURINIA PHARMACEUTICALS INC OR,CIK0001600620
ACB,AURORA CANNABIS INC COM (CANAD,CIK0001683541
AUR,AURORA INNOVATION INC CL A,CIK0001828108
JG,AURORA MOBILE LTD ADR (CYM),CIK0001737339
AUST,AUSTIN GOLD CORP COM,CIK0001817740
ATHM,AUTOHOME INC ADR REPST 4 CL A ,CIK0001527636
AUTL,AUTOLUS THERAPEUTICS PLC SPONS,CIK0001730463
AVDL,AVADEL PHARMACEUTICALS PLC SPO,CIK0001012477
AVAC,AVALON ACQUISITION INC CL A (D,CIK0001836478
AVB,AVALONBAY COMMUNITIES INC,CIK0000915912
AGR,AVANGRID INC COM,CIK0001634997
ATXI,AVENUE THERAPEUTICS INC COM PA,CIK0001644963
AVPT,"AVEPOINT, INC.",CIK0001777921
AVPTW,AVEPOINT INC WT EXP 09/18/26,CIK0001777921
AVY,AVERY DENNISON CORP,CIK0000008818
RNA,AVIDITY BIOSCIENCES INC COM,CIK0001599901
RCEL,AVITA MEDICAL INC COM,CIK0001762303
ASM,AVINO SILVER & GOLD MINES LTD ,CIK0000316888
AWRE,AWARE INC (MASS),CIK0001015739
AXLA,AXCELLA HEALTH INC COM (DE),CIK0001633070
ACLS,AXCELIS TECHNOLOGIES INC COM N,CIK0001113232
AXON,AXON ENTERPRISE INC COM STK (D,CIK0001069183
AXSM,AXSOME THERAPEUTICS INC COM ST,CIK0001579428
AYRO,AYRO INC,CIK0001086745
AYRWF,AYR WELLNESS INC SUB LTD VTG S,CIK0001847462
AYTU,AYTU BIOPHARMA INC COM PAR $0.,CIK0001385818
AZEK,AZEK CO INC CL A (DE),CIK0001782754
AZUL,AZUL S.A. SPONSORED ADR RPTG P,CIK0001432364
BGS,B&G FOODS INC COM STK (DE),CIK0001278027
BAESY,BAE SYS PLC SPONS ADR,CIK0000895564
BCBP,BCB BANCORP INC (NJ),CIK0001228454
BANFP,BFC CAP TR II CUMULATIVE TR PF,CIK0000760498
BP,BP PLC ADS(RP 6 ORD),CIK0000313807
BPT,BP PRUDHOE BAY ROYALTY TR,CIK0000850033
DOOO,BRP INC COM SHS SUB VTG (CDA) ,CIK0001748797
RILY,"B. RILEY FINANCIAL, INC. COMMO",CIK0001464790
RILYO,B RILEY FINL INC SR NT (DE),CIK0001464790
RILYG,B RILEY FINL INC SR NT (DE)12/,CIK0001464790
RILYZ,B RILEY FINL INC SR NT (DE),CIK0001464790
RILYM,B RILEY FINL INC SR NT,CIK0001464790
RILYP,B RILEY FINL INC DEP SHS REP 1,CIK0001464790
BRP,BRP GROUP INC CL A,CIK0001781755
BMTX,BM TECHNOLOGIES INC,CIK0001725872
BRCC,BRC INC COM CL A (DE),CIK0001891101
BCAN,BYND CANNASOFT ENTERPRISES INC,CIK0001888151
BMI,BADGER METER INC,CIK0000009092
BIDU,BAIDU INC SPON ADR RPTNG ORD S,CIK0001329099
BKR,BAKER HUGHES COMPANY,CIK0001701605
BKKT,BAKKT HLDGS INC COM CL A (DE) ,CIK0001820302
BCPC,BALCHEM CORP,CIK0000009326
BBAR,BANCO BBVA ARGENTINA S A SPONS,CIK0000913059
BBVA,BANCO BILBAO VIZ ARGENTARA ADS,CIK0000842180
BBD,BANCO BRADESCO ADS REP ONE PFD,CIK0001160330
BBDO,BANCO BRADESCO SA,CIK0001160330
SAN,BANCO SANTANDER SA,CIK0000891478
BSBR,BANCO SANTANDER BRASIL SA ADS ,CIK0001471055
BSMX,BANCO SANTANDER MEX SA INSTITU,CIK0001698287
BANC,BANC CALIF INC,CIK0001169770
BFC,BANK FIRST CORP COM(WI),CIK0001746109
NRGU,MICROSECTORS U S BIG OIL INDEX,CIK0000927971
FNGD,MICROSECTORS FANG+ INDEX -3X I,CIK0000927971
FNGU,MICROSECTORS FANG+ INDEX 3X LE,CIK0000927971
BULZ,BANK MONTREAL MICROSECTORS FAN,CIK0000927971
OILU,BK MONTR QUE MICRO. OIL & GAS ,CIK0000927971
BERZ,BANK MONTREAL MICROSECTORS FAN,CIK0000927971
GDXD,BANK MONTREAL QUE MICROSECTORS,CIK0000927971
BNKU,BNK MONTREAL QUE MICROSECTORS ,CIK0000927971
FNGO,BK MONTREAL QUE MICROSECTORS F,CIK0000927971
FNGS,BANK MONTREAL QUE MICROSECTORS,CIK0000927971
FLYD,BANK MONTREAL S-NETWORK MICROS,CIK0000927971
OILD,BK MONTR QUE MICROSEC OIL & GA,CIK0000927971
BNS,BANK OF NOVA SCOTIA (F),CIK0000009631
OZK,BANK OZK,CIK0001569650
BKSC,BANK OF SOUTH CAROLINA CORP,CIK0001007273
BKU,BANKUNITED INC COM STK (DE),CIK0001504008
BANR,BANNER CORP COM STK NEW (WA),CIK0000946673
BNIX,BANNIX ACQUISITION CORP COM (D,CIK0001845942
BYN,BANYAN ACQUISITION CORP CL A,CIK0001852633
BCS,BARCLAYS PLC ADS =4 ORDINARY U,CIK0000312069
BCM,BARCLAYS BK PLC IPATH PURE BET,CIK0000312070
OIL,BARCLAYS BK PLC IPATH PURE BET,CIK0000312070
ATMP,IPATH SELECT MLP ETN,CIK0000312070
GAZ,BARCLAYS BK PLC IPATH SER B BE,CIK0000312070
BAL,BARCLAYS BK PLC IPATH SER B BL,CIK0000312070
JO,BARCLAYS BK PLC IPATH SER B BL,CIK0000312070
VXZ,BARCLAYS BK PLC IPTAH SER B S&,CIK0000312070
VXX,BARCLAYS BK PLC IPATH SER SP 5,CIK0000312070
BGH,BARINGS GLOBAL SHORT DURATION ,CIK0001521404
MPV,BARINGS PARTN INVS SH BEN INT ,CIK0000831655
BNED,BARNES & NOBLE ED INC COM,CIK0001634117
B,BARNES GROUP INCORPORATED,CIK0000009984
GOLD,BARRICK GOLD CORP,CIK0000756894
BBSI,BARRETT BUSINESS SVCS INC,CIK0000902791
BBWI,BATH & BODY WKS INC COM STK (D,CIK0000701985
BATL,BATTALION OIL CORP,CIK0001282648
BXRX,BAUDAX BIO INC COM PAR $0.01,CIK0001780097
BLCO,BAUSCH + LOMB CORP COM (CAN),CIK0001860742
BAX,BAXTER INTL INC;COM USD1,CIK0000010456
BCML,BAYCOM CORP COM STK,CIK0001730984
BECN,"BEACON ROOFING SUPPLY, INC.",CIK0001124941
BEEM,BEAM GLOBAL,CIK0001398805
BEAM,BEAM THERAPEUTICS INC COM (DE),CIK0001745999
BDXB,BECTON DICKINSON & CO,CIK0000010795
BBBY,BED BATH & BEYOND INC,CIK0000886158
BELFA,BEL FUSE INC CL A,CIK0000729580
BDC,"BELDEN, INC COM",CIK0000913142
BLTE,BELITE BIO INC ADR (CYM),CIK0001889109
BLPH,BELLEROPHON THERAPEUTICS INC C,CIK0001600132
BLAC,BELLEVUE LIFE SCIENCES ACQUISI,CIK0001840425
BLU,BELLUS HEALTH INC NEW COM NEW ,CIK0001259942
OZ,BELPOINTE PREP LLC UNIT REPSTG,CIK0001807046
BHIL,BENSON HILL INC COM (DE),CIK0001830210
BSY,BENTLEY SYS INC CL B,CIK0001031308
BACA,BERENSON ACQUISITION CORP I CL,CIK0001869673
WRB,BERKLEY (W R) CORP,CIK0000011544
BGRY,BERKSHIRE GREY INC CL A COM (D,CIK0001824734
BGRYW,BERKSHIRE GREY INC WT EXP (DE),CIK0001824734
BHLB,BERKSHIRE HILLS BANCORP INC,CIK0001108134
BRY,BERRY CORPORATON COM,CIK0001705873
BEST,BEST INC SPONSORED ADR NEW (CY,CIK0001709505
BEST,BEST INC SPONSORED ADR NEW 202,CIK0001709505
BTTR,BETTER CHOICE CO INC,CIK0001471727
BETRF,BETTERLIFE PHARMA INC,CIK0001464165
BHP,BHP GROUP LIMITED ADS ( 2 ORD ,CIK0000811809
BYND,BEYOND MEAT INC COM (DE),CIK0001655210
XAIR,BEYOND AIR INC COM,CIK0001641631
BCYC,BICYCLE THERAPEUTICS PLC SPONS,CIK0001761612
BGFV,BIG 5 SPORTING GOODS CORP,CIK0001156388
BIG,BIG LOTS INC.,CIK0000768835
BBAI,BIGBEAR AI HLDGS INC,CIK0001836981
BH,BIGLARI HLDGS INC CL B,CIK0001726173
BILI,BILIBILI INC ADS REPSTG SHS CL,CIK0001723690
BILL,BILL HOLDINGS INC COM (DE),CIK0001786352
BPTH,BIO-PATH HLDGS INC COM PAR $0.,CIK0001133818
BKYI,BIO-KEY INTL INC COM PAR $0.00,CIK0001019034
BMRN,BIOMARIN PHARMACEUTICAL INC,CIK0001048477
BNET,BION ENVIRONMENTAL TECHNOLOGIE,CIK0000875729
BLFS,BIOLIFE SOLUTIONS INC COM STK ,CIK0000834365
BNOX,BIONOMICS LTD ADS (AUS),CIK0001191070
BRTX,BIORESTORATIVE THERAPIES INC.C,CIK0001505497
BTMDW,BIOTE CORP WT EXP 05/26/27,CIK0001819253
BDPT,"BIOADAPTIVES, INC. COMMON",CIK0001575142
BIOC,BIOCEPT INC,CIK0001044378
TECH,BIO-TECHNE CORP COM,CIK0000842023
BSGM,BIOSIG TECHNOLOGIES INC COM NE,CIK0001530766
BVXV,BIONDVAX PHARMACEUTICALS LTD. ,CIK0001611747
BVS,BIOVENTUS INC CL A,CIK0001665988
BIXT,BIOXYTRAN INC COM,CIK0001445815
BNGO,BIONANO GENOMICS INC COM,CIK0001411690
BTAI,BIOXCEL THERAPEUTICS INC COM (,CIK0001720893
BNTX,BIONTECH SE ADS (DEU),CIK0001776985
BDSX,BIODESIX INC COM (DE),CIK0001439725
BPTS,BIOPHYTIS SA SPONSORED ADR (FR,CIK0001768946
BIAF,BIOAFFINITY TECHNOLOGIES INC C,CIK0001712762
BMEA,BIOMEA FUSION INC COM (DE),CIK0001840439
BCAB,BIOATLA INC COM,CIK0001826892
BFRIW,BIOFRONTERA INC WT EXP 10/27/2,CIK0001858685
BRDS,BIRD GLOBAL INC CL A,CIK0001861449
PHGE,BIOMX INC COM (DE),CIK0001739174
BITF,BITFARMS LTD COM (CAN),CIK0001812477
BITW,BITWISE 10 CRYPTO INDEX FD,CIK0001723788
BGT,BLACKROCK FLOATING RATE INCOME,CIK0001287480
BB,BLACKBERRY LTD COM STK (CDA),CIK0001070235
BL,BLACKLINE INC COM,CIK0001666134
BKN,BLACKROCK INVT QUALITY MUNI TR,CIK0000894242
BKT,BLACKROCK INCOME TRUST INC NEW,CIK0000832327
BUI,"BLACKROCK UTIL,INFRASTRCTURE &",CIK0001528988
BHV,BLACKROCK VA MUNI BD TST,CIK0001169034
BHK,BLACKROCK CORE BOND TRUST,CIK0001160864
BLW,BLACKROCK LTD DURATION INCM TS,CIK0001233681
BGR,BLACKROCK ENERGY AND RESOURCES,CIK0001306550
BME,BLACKROCK HEALTH SCIENCES TRUS,CIK0001314966
BOE,BLACKROCK ENHANCED GLOBAL DIVI,CIK0001320375
BDJ,BLACKROCK ENHANCED EQUITY DIVI,CIK0001332283
BGY,BLACKROCK ENHANCED INTERNATION,CIK0001393299
MYD,"BLACKROCK MUNI YIELD FUND, INC",CIK0000879361
BKCC,BLACKROCK CAPITAL INVESTMENT C,CIK0001326003
MUC,BLACKROCK MUNIHLDGS CALIFORNIA,CIK0001051004
MHN,BLACKROCK MUNIHLDGS NY QUALITY,CIK0001038186
MPA,BLACKROCK MUNIYLD PA QUAL FND ,CIK0000891038
EGF,BLACKROCK ENHANCED GOVT FUND I,CIK0001336050
HYT,BLACKROCK CORP HIGH YLD FD INC,CIK0001222401
FRA,BLACKROCK FLTG RT INCM STRATEG,CIK0001259708
CII,BLACKROCK ENHANCED CAP & INCOM,CIK0001278895
BCX,BLACKROCK RES & COMMODITIES,CIK0001506289
BXMT,BLACKSTONE MORTGATE TRUST INC ,CIK0001061630
BIT,BLACKROCK MULTI-SECTOR INCOME ,CIK0001562818
BST,BLACKROCK SCIENCE & TECHNOLOGY,CIK0001616678
BX,BLACKSTONE INC COM STK (DE),CIK0001393818
BMEZ,BLACKROCK HEALTH SCIENCES TR I,CIK0001785971
BMEZ,BLACKROCK HEALTH SCIENCES TERM,CIK0001785971
BSTZ,BLACKROCK SCIENCE & TECHNOLOGY,CIK0001768666
BSTZ,BLACKROCK SCIENCE AND TECHNOLO,CIK0001768666
BIGZ,BLACKROCK INNOVATION & GROWTH ,CIK0001836057
BIGZ,BLACKROCK INNOVATION AND GROWT,CIK0001836057
BKRRF,BLACKROCK SILVER COR (CANADA) ,CIK0001699906
ECAT,BLACKROCK ESG CAP ALLOCATION T,CIK0001864843
ECAT,BLACKROCK ESG CAPITAL ALLOCATI,CIK0001864843
BKSY,BLACKSKY TECHNOLOGY INC COM CL,CIK0001753539
BLDE,"BLADE AIR MOBILITY, INC CL A C",CIK0001779128
BLDEW,"BLADE AIR MOBILITY, INC WT PUR",CIK0001779128
BLND,BLEND LABS INC,CIK0001855747
BLNK,BLINK CHARGING CO COM,CIK0001429764
BMAQR,BLOCKCHAIN MOON ACQUISITION CO,CIK0001867757
BLMN,BLOOMIN BRANDS INC COM STK (DE,CIK0001546417
BLMS,BLOOMIOS INC COM (NV),CIK0001138608
OWL,BLUE OWL CAP INC CL A (DE),CIK0001823945
BRBS,BLUE RIDGE BANKCHARES INC(VA) ,CIK0000842717
BKUCF,BLUE SKY URANIUM CORP COM NO P,CIK0001463978
BSFC,BLUE STAR FOODS CORP,CIK0001730773
BLUE,BLUEBIRD BIO INC COM STK (DE) ,CIK0001293971
BVH,BLUEGREEN VACATIONS HOLDING CO,CIK0000315858
BHM,BLUEROCK HOMES TR INC REG WAY ,CIK0001903382
DHF,BNY MELLON HIGH YIELD STRATEGI,CIK0001057861
DSM,BNY MELLON STRATEGIC MUN BD FD,CIK0000855887
DMB,BNY MELLON MUN BD INFRASTRUCTU,CIK0001565381
BDNNY,Boliden AB Unsponsored ADR (Sw,CIK0001446457
XONE,BONDBLOXX ETF TR 1 YR TARGET D,CIK0001561627
BBLG,BONE BIOLOGICS CORP,CIK0001419554
BKNG,BOOKING HLDGS INC COM,CIK0001075531
BAH,BOOZ ALLEN HAMILTON HLDG CORP ,CIK0001443646
BXP,BOSTON PROPERTIES INC.,CIK0001037540
BSX,BOSTON SCIENTIFIC CORP,CIK0000885725
STEW,SRH TOTAL RETURN FUND INC COM ,CIK0000102426
BOWL,BOWLERO CORP CL A (DE),CIK0001840572
BOX,BOX INC CL A COM STK (DE),CIK0001372612
BOXD,BOXED INC,CIK0001828672
BRC,BRADY CORP CL A,CIK0000746598
BRAG,BRAGG GAMING GROUP INC,CIK0001867834
BCHPY,BRAINCHIP HLDGS LTD SPONSORED ,CIK0001887388
BCLI,BRAINSTORM CELL THERAPEUTICS I,CIK0001137883
BDN,BRANDYWINE REALTY TST,CIK0000790816
BRFS,BRF-BRASIL S.A. ADS ((EACH RPS,CIK0001122491
BAK,BRASKEM S.A. ADS (EA REPTG FOU,CIK0001071438
LND,BRASILAGRO BRAZILIAN AGRIC REA,CIK0001499849
BREZ,BREEZE HLDGS ACQUISITION CORP ,CIK0001817640
BREZR,BREEZE HLDGS ACQUISITION CORP ,CIK0001817640
BCTX,BRIACELL THERAPEUTICS INC,CIK0001610820
BBIO,BRIDGEBIO PHARMA INC COM,CIK0001743881
BLIN,BRIDGELINE DIGITAL INC COM PAR,CIK0001378590
DRUG,BRIGHT MINDS BIOSCIENCES INC C,CIK0001827401
BGXX,BRIGHT GREEN CORP COM,CIK0001886799
BHG,BRIGHT HEALTH GROUP INC COM (D,CIK0001671284
BHFAL,BRIGHTHOUSE FINL INC 6.25% JR ,CIK0001685040
BHFAO,BRIGHTHOUSE FINL INC,CIK0001685040
BHFAM,BRIGHTHOUSE FIN INC,CIK0001685040
BV,BRIGHTVIEW HLDGS INC COM,CIK0001734713
BRSP,BRIGHTSPIRE CAP INC CL A COM (,CIK0001717547
EAT,BRINKER INTL INC,CIK0000703351
VTOL,BRISTOW GROUP INC.,CIK0001525221
BR,BROADRIDGE FINL SOLUTIONS INC ,CIK0001383312
BRMK,BROADMARK RLTY CAP INC COM (MD,CIK0001784797
AVGO,BROADCOM INC COM (DE),CIK0001730168
BWEN,BROADWIND INC COM NEW (NV),CIK0001120370
BEPI,BROOKFIELD BRP HLDGS CDA INC P,CIK0001533232
BIPH,BROOKFIELD INFRASTR FIN ULC SU,CIK0001788348
RA,BROOKFIELD REAL ASSETS INCOME ,CIK0001655099
BAM,BROOKFILED ASSET MGMT LTD CL A,CIK0001001085
BRKL,BROOKLINE BANCORP INC DEL,CIK0001049782
AZTA,"AZENTA, INC.",CIK0000933974
BCUCY,BRUNELLO CUCINELLI S P A UNSPO,CIK0001581285
BTG,B2Gold Corp Common shares (Can,CIK0001429937
BKE,BUCKLE INC (THE),CIK0000885245
BFI,"BURGERFI INTERNATIONAL, INC. C",CIK0001723580
BNR,BURNING ROCK BIOTECH LTD SPONS,CIK0001792267
BFST,BUSINESS FIRST BANCSHARES INC ,CIK0001624322
BFLY,BUTTERFLY NETWORK INC CL A,CIK0001804176
AI,C3 AI INC CL A (DE),CIK0001577526
CBFV,CB FINANCIAL SERVICES INC,CIK0001605301
YCBD,CBDMD INC COM,CIK0001644903
IGR,CBRE GLOBAL REAL ESTATE INCOME,CIK0001268884
CBRE,CBRE GROUP INC CL A,CIK0001138118
CDW,CDW COPR COM STK (DE),CIK0001402057
CCCC,C4 THERAPEUTICS INC,CIK0001662579
CHSCO,CHS INC PREFERRED CLASS B,CIK0000823277
CHSCM,CHS INC REDEEMABLE PREFERRED S,CIK0000823277
CHSCL,CHS INC PFD CL B SER 4,CIK0000823277
CMSA,CMS ENERGY CORP,CIK0000811156
CNA,CNA FINANCIAL CORP,CIK0000021175
CCNEP,CNB FINL CORP PA,CIK0000736772
CRAI,"CRA INTERNATIONAL, INC",CIK0001053706
CNO,CNO FINANCIAL GROUP INC COM ST,CIK0001224608
CSGS,CSG SYS INTERNATL INC,CIK0001005757
CCLP,CSI COMPRESSCO L P,CIK0001449488
CSX,CSX CORP,CIK0000277948
CVI,CVR ENERGY INC COM STK (DE),CIK0001376139
UAN,CVR PARTNERS LP,CIK0001425292
CVS,CVS HEALTH CORPORATION (DE),CIK0000064803
CVT,CVENT HLDG CORP COM (DE),CIK0001827075
CBT,CABOT CORP,CIK0000016040
CTRA,COTERRA ENERGY INC COM (DE),CIK0000858470
CACI,CACI INTERNATIONAL INC CL-A,CIK0000016058
WHD,CACTUS INC,CIK0001699136
CAIXY,CAIXABANK UNSPONSORED ADR (SPA,CIK0001535628
LSTA,"LISATA THERAPEUTICS, INC. COMM",CIK0000320017
CCD,CALAMOS DYNAMIC CONV & INCOME ,CIK0001602584
CHI,CALAMOS CONV OPPORTUNITIES & I,CIK0001171471
CGO,CALAMOS GLOBAL TOTAL RETURN FU,CIK0001285650
CPZ,CALAMOS LONG/SHORT EQUITY & DY,CIK0001717457
CSQ,CALAMOS STRATEGIC TOTAL RETURN,CIK0001275214
CVGW,CALAVO GROWERS INC,CIK0001133470
CRC,CALIFORNIA RES CORP COM PAR $ ,CIK0001609253
CWT,CALIFORNIA WTR SVC GRP(HLDG CO,CIK0001035201
CEI,CAMBER ENERGY INC COM PAR $0.0,CIK0001309082
CATC,CAMBRIDGE BANCORP,CIK0000711772
CPT,CAMDEN PROPERTY TRUST SBI,CIK0000906345
CCJ,CAMECO CORP,CIK0001009001
CWH,CAMPING WORLD HLDGS INC CL A (,CIK0001669779
CAN,CANAAN INC SPONSORED ADR (CYM),CIK0001780652
GOOS,CANADA GOOSE HLDGS INC SHS SUB,CIK0001690511
CM,CANADIAN IMPERIAL BK OF COMMER,CIK0001045520
CNI,CDN NATL RAILWAY FULLY PD SHS ,CIK0000016868
CNQ,CANADIAN NATURAL RESOURCES LTD,CIK0001017413
CSIQ,CANADIAN SOLAR INC COM (ON),CIK0001375877
CVVUF,CANALASKA URANIUM LTD. ORDINAR,CIK0001023109
